ID,name,region,Published,End
639,2021-ROAD RECONSTRUCTION-SUNBURST LANE,New Jersey,2021-06-28,2021-07-15
640,Furniture and Metal Library Shelving,Indiana,2021-06-28,2021-07-14
641,WELLFORD LANDFILL BOMAG BC972RB WASTE COMPACTOR OR EQUIVALENT,South Carolina,2021-06-28,2021-07-15
642,Storm Sewer Improvements Project 2021,New Jersey,2021-06-28,2021-07-15
643,Demolition of 30 properties,Illinois,2021-06-28,2021-07-15
644,"DEMOLITION OF VARIOUS BUILDINGS ON BLOCK 13, LOT 25 AND BLOCK 14, LOT 2",New Jersey,2021-06-28,2021-07-15
645,LEASE-LEASEBACK CONSTRUCTION SERVICES,California,2021-06-28,2021-07-14
646,BOROUGH HALL ROOF DRAIN,New Jersey,2021-06-28,2021-07-15
647,INFORMAL BID PAINT STRIPING SERVICES BPTM,Texas,2021-06-28,2021-07-09
648,SINGLE STATION SMART SOLAR TRASH COMPACTORS,New Jersey,2021-06-28,2021-07-15
649,REMOVAL OF TREE STALKS,New Jersey,2021-06-28,2021-07-15
650,Renovations to Wyandanch VFW,New York,2021-06-28,2021-07-15
651,Communications Cabling and Wiring Services - 21,North Carolina,2021-06-28,2021-08-03
652,Manufactured Homes,North Carolina,2021-06-28,2021-07-06
653,Window and Power Washing Services,California,2021-06-28,2021-07-14
654,Electric Motor & Machine Repair Services Rebid,New Jersey,2021-06-28,2021-07-13
655,Broadband Assessment,Arizona,2021-06-28,2021-07-14
656,BOROUGH SOLICITOR SERVICES,New Jersey,2021-06-28,2021-07-13
657,17 Brian Scott Pl,Michigan,2021-06-28,2021-07-02
658,BOROUGH ENGINEER SERVICES: CONFLICT AND SPECIAL PROJECTS,New Jersey,2021-06-28,2021-07-13
659,REDEVELOPMENT COUNSEL,New Jersey,2021-06-28,2021-07-13
660,Liquid Ferric Sulfate,North Carolina,2021-06-28,2021-07-14
661,Bridge Preservation Program 2018/2019,Utah,2021-06-28,2021-07-14
662,Civic Apartments Water and Waste Line Replacement,Illinois,2021-06-28,2021-07-14
663,Purchase of One Wheel Loader for the Water and Sewer Division,Illinois,2021-06-28,2021-07-14
664,"Corrugated Aluminized Pipe, CS",North Carolina,2021-06-28,2021-07-12
665,Port Security Grant Program – Radar System,Ohio,2021-06-28,2021-07-14
666,Architectural / Engineering Services for Sullivan County Dept. of Education HVAC Projects,Tennessee,2021-06-28,2021-07-14
667,Formal Invitation for Bids for Annual Contract for Utility Terrain Vehicles,Texas,2021-06-28,2021-07-14
668,Bob White Pier Wall,Kentucky,2021-06-28,2021-07-14
669,BOROUGH SOLICITOR SERVICES: CONFLICT,New Jersey,2021-06-28,2021-07-13
670,Bike Rack Installation Baum-Centre Corridor & Downtown,Pennsylvania,2021-06-28,2021-07-14
671,Sibley Road Storm Replacement,Ohio,2021-06-28,2021-07-13
672,ROOF METAL AND INSULATION REMOVAL AND REPLACEMENT PROJECT LOCATED AT 714 S 42ND STREET,Illinois,2021-06-28,2021-07-14
673,PUBLIC/NON PUBLIC STUDENT TRANSPORTATION SERVICES,New Jersey,2021-06-28,2021-07-14
674,SUPERVISION OF CONSTRUCTION SERVICES FOR CONTRACT NO. P100.590 PARKWAY BRIDGE SUPERSTRUCTURE REPLACEMENT MILEPOST 106.3 TO 106.5,New Jersey,2021-06-28,2021-07-14
675,Copper Tubing,Virginia,2021-06-28,2021-07-13
676,Recruiting Promotional Items - Statewide,Texas,2021-06-28,2021-07-09
677,"Site Demolition and Restoration at Scatter Site Project Locations (919, 1051, & 1330 Hamilton St., 1420 Campbell St., 1710 Vance St.)",Ohio,2021-06-28,2021-07-13
678,Professional Audio/Visual Consulting Services for Corona’s EOC Project (Phase 1),California,2021-06-28,2021-07-28
679,Camera System Upgrade for TPD,Ohio,2021-06-28,2021-07-13
680,Total Trihalomethane (THM) Analyzer,Florida,2021-06-28,2021-07-08
681,CAPACITORS,Kentucky,2021-06-28,2021-07-13
682,ELECTRONIC WASTE SERVICES,Georgia,2021-06-28,2021-07-13
683,ARROW® EZ-IO SYSTEMS,Texas,2021-06-28,2021-07-08
684,Purchase of Flags,Florida,2021-06-28,2021-07-13
685,2021 CDBG Streets Resurfacing & Restriping Program,Ohio,2021-06-28,2021-07-13
686,Police Uniforms and Related Supplies,Ohio,2021-06-28,2021-07-12
687,2021 CDBG Streets Resurfacing & Restriping Program,Ohio,2021-06-28,2021-07-13
688,Commissioning Services for Silverthorne Early Child Care Facility,Colorado,2021-06-28,2021-07-12
689,Overhead Door Repairs,Texas,2021-06-28,2021-07-09
690,Request for Qualifications – Special Events and Late Night Entertainment,Minnesota,2021-06-28,2021-07-09
691,Sole Source for Rural Oregon Recruitment and Retention for Parenting & Opioids Project,Oregon,2021-06-28,2021-07-02
692,Prepared Meals for Senior Nutrition Program,New York,2021-06-28,2021-07-23
693,"Meadowbrook Corridor Green Infrastructure Merrick, NY",New York,2021-06-28,2021-07-15
694,Sale of Surplus Equipment,North Dakota,2021-06-28,2021-07-08
695,Part Washer Service for Two (2) Parts Washer Units,Ohio,2021-06-28,2021-07-07
696,Laredo Police Department,Texas,2021-06-28,2021-07-07
697,PVC Fittings,Texas,2021-06-28,2021-07-02
698,Bracket,California,2021-06-28,2021-07-02
699,Multiple Buildings – Small Boiler Replacements,Michigan,2021-06-28,2021-07-14
700,"MOTOR ASM - DOOR, EXIT, AKA DOOR OPERATOR ASSEMBLY, VAPOR 5145605000",California,2021-06-28,2021-07-01
701,Monitor - LCD,California,2021-06-28,2021-07-02
702,Forestry/Bucket Truck,Michigan,2021-06-28,2021-07-01
703,Legal Services for PERA Determination Appeal,Minnesota,2021-06-28,2021-06-29
704,"MECHANISM - ENTRANCE, S-40, COMPLETE",California,2021-06-28,2021-07-01
705,Printing and Mailing of Newsletters,Illinois,2021-06-28,2021-07-14
706,Professional Architectural Services,California,2021-06-28,2021-07-01
707,CHAIN LINK FENCE/Calle del Norte and Springfield - Public Works,Texas,2021-06-28,2021-06-30
708,ARCHITECTURAL SERVICES for COURTHOUSE ANNEX,Texas,2021-06-28,2021-07-08
709,Zero Is Possible T-Shirts,Texas,2021-06-28,2021-06-30
710,Prisoner Meals,Connecticut,2021-06-28,2021-07-14
711,Avenue R Abatement and Demolition of 2 Commercial Buildings,California,2021-06-28,2021-07-27
712,"PARKING LOT AND PATHWAY PAVING PROJECTS AT COUNTY FARM PARK & MLM RECREATION CENTER, PARKS & RECREATION MANDATORY",Michigan,2021-06-28,2021-07-29
713,"Vendor Contract for Rope, Measure and Pull Tape",Wisconsin,2021-06-28,2021-07-08
714,Yuma East Mesa & Desert Air Subdivisions Speed Cushions,Arizona,2021-06-28,2021-07-09
715,Disadvantaged businesses for the City of Dixon Streets 2021-DCEO Funds,Illinois,2021-06-28,2021-06-30
716,Roofing and gutter replacement for a single family home in on North Shore Drive in Crystal Lake,Illinois,2021-06-28,2021-07-06
717,Professional Services Network Infrastructure,Iowa,2021-06-28,2021-07-12
718,Announcement of a Sole Source Purchase,Illinois,2021-06-28,2021-07-14
719,Construction of the addition and renovation of the High School and Junior High School,Illinois,2021-06-28,2021-07-13
720,High Efficiency Pool Heater for the City of Columbia Parks and Recreation Department - Materials Only,Missouri,2021-06-28,2021-07-13
721,Materials for Network Infrastructure upgrade,Iowa,2021-06-28,2021-07-12
722,"HFE - 150 Oil 12,000 GAL",Illinois,2021-06-28,2021-07-13
723,LED LIGHT CONVERSION AT IVANHOE PARK,Illinois,2021-06-28,2021-07-09
724,Purchase five (5) Boat Electrofisher Systems,Texas,2021-06-28,2021-07-13
725,"Pest Control Services for General Household Pests, Rodents & Ants",Florida,2021-06-28,2021-07-13
726,3 Hybrid Trouble Trucks,Tennessee,2021-06-28,2021-07-13
727,"For the work of widening US-95 from MP 471.33 to 471.75 to add both southbound and northbound acceleration lanes, mill & inlay of Lakeshore Dr and bridge approach.",Idaho,2021-06-28,2021-07-13
728,Hawkeye Street Connection,Utah,2021-06-28,2021-07-13
729,RFQ 21-15 QUARTZ CREEK STEEL MANUFACTURER QUALIFICATIONS,Alaska,2021-06-28,2021-07-12
730,2021 Miscellaneous Concrete Repairs,Illinois,2021-06-28,2021-07-13
731,Copy paper,Illinois,2021-06-28,2021-07-13
732,RECS RFP Facility Plan Parking Study Multi Bldgs,Minnesota,2021-06-28,2021-07-28
733,Request For Quote: Emergency Standby Generators,South Carolina,2021-06-28,2021-07-12
734,Easton Street Sidewalk Improvement Project,California,2021-06-28,2021-07-13
735,Alternative Housing Placements,Washington,2021-06-28,2021-07-12
736,Cemetery Road Communication Tower #8406,Illinois,2021-06-28,2021-07-12
737,Meadow Drive Reconstruction,Illinois,2021-06-28,2021-07-12
738,REHAB BID 6977 – 1519 Casimir,Michigan,2021-06-28,2021-07-02
739,"COLLECTION, VERIFICATION, TRACKING & REPORTING OF COVID VACCINATION STATUS OF EMPLOYEES & STUDENTS OF WESTCHESTER COMMUNITY COLLEGE",New York,2021-06-28,2021-07-09
740,"Demolition of 2753, 2771 and 2785 Galilee Avenue",Illinois,2021-06-28,2021-07-07
741,Sod Removal and Installation at Chillura Park,Florida,2021-06-28,2021-07-02
742,Rock Hill Court Water Main Improvements,Illinois,2021-06-28,2021-07-09
743,NORTHWEST FIRST STREET MULTIMODAL ENHANCEMENTS,Florida,2021-06-28,2021-07-26
744,Countywide Bee-Line ParaTransit Traditional services and Technical Enhancements,New York,2021-06-28,2021-08-13
745,MUSIC CURRICULUM (PREK-GRADE 5),North Carolina,2021-06-28,2021-07-09
746,HPE Nimble Security Service Manager (SSM) Maintenance,Florida,2021-06-28,2021-07-02
747,Replace Concrete Platform at Fire Station #2,Michigan,2021-06-28,2021-07-13
748,REHAB BID 6978 – 2909 Tausend,Michigan,2021-06-28,2021-07-02
749,Haines Flooring Project,Illinois,2021-06-28,2021-07-06
750,Online Payment Services,Washington,2021-06-28,2021-07-23
751,Printing of the Allegany State Park Brochure,New York,2021-06-28,2021-07-09
752,2021 Traffic Signal Painting,Illinois,2021-06-28,2021-07-09
753,AUXILIARY SUPPLIES FOR CAMERA INSTALLATIONS,North Carolina,2021-06-28,2021-07-06
754,JANITORIAL,Illinois,2021-06-28,2021-07-08
755,Meter Enclosure Repair,Tennessee,2021-06-28,2021-07-09
756,"Two Complete Pump Assemblies, Part # 058008987for BOMAG-BC772RB Compactor - Serial # 10157053116",New York,2021-06-28,2021-07-08
757,Fuses,Ohio,2021-06-28,2021-07-02
758,Pre-Packaged Meals for Sheriff's Office,Pennsylvania,2021-06-28,2021-07-09
759,Commercial Waste Collection Franchise 2021,Ohio,2021-06-28,2021-07-09
760,OUTDOOR TABLES,North Carolina,2021-06-28,2021-07-06
761,Shoemaker Harbor Boat Grid Electrical Improvements,Alaska,2021-06-28,2021-07-08
762,Exterior Door - Fleet Maintenance Garage,Florida,2021-06-28,2021-07-15
763,Gold Star Mothers Memorial Project,California,2021-06-28,2021-07-14
764,Nottingham WTP stall pumps,Ohio,2021-06-28,2021-07-07
765,International School Boilers' Fuel Oil to Natural Gas Conversion and Misc. Heating System Evaluation and Repairs,Connecticut,2021-06-28,2021-07-21
766,Deadweight Tester,Ohio,2021-06-28,2021-07-02
767,Bread & Buns for the Jr./Sr. High School and Elementary School,Illinois,2021-06-28,Not Stated
768,Fuel and Petroleum for the school vehicles,Illinois,2021-06-28,Not Stated
769,Rental of Floor Mats and Dust Mops,Ohio,2021-06-28,2021-07-02
770,Connectors,Ohio,2021-06-28,2021-07-02
771,Security System Spare Parts,Ohio,2021-06-28,2021-07-02
772,Cloud-Based Electronic Test Order and Result (ETOR) Web Portal,Missouri,2021-06-28,2021-06-30
773,Transformers,Ohio,2021-06-28,2021-07-02
774,Marketing Promotional Services,Ohio,2021-06-28,2021-07-09
775,Occupational Therapist for MDH SETT,Maryland,2021-06-28,2021-07-09
776,UDOT Region 4 Wash Rack installation Various Locations,Utah,2021-06-28,2021-07-08
777,CRYPTOFLOW LICENSING AND SUPPORT,South Carolina,2021-06-28,2021-07-09
778,"Afton Rd., 4000 ft East of Crego Rd from Keslinger Rd to Gurler Rd",Illinois,2021-06-28,2021-07-08
779,Painting of the Frank Campbell Community Center,Illinois,2021-06-28,2021-07-08
780,Frank Campbell Community Center Carpet Replacement,Illinois,2021-06-28,2021-07-08
781,CARPET REPLACEMENT PHA WIDE,Illinois,2021-06-28,2021-07-08
782,West Haven Park Renovation Project,California,2021-06-28,2021-07-26
783,UBMS Summer Program Items,South Carolina,2021-06-28,2021-07-07
784,Full Body X-Ray Phantom,Illinois,2021-06-28,2021-07-06
785,"DISADVANTAGED AND VETERAN OWNED BUSINESSES for Illinois Tollway Project I-21-4582, I-294 Roadway and Bridge Reconstruction Ramp F from South of I-290 to South of St. Charles Road",Illinois,2021-06-28,2021-07-07
786,"City of Marion - Drainage Canals, Outfalls, and Storm Drain Repairs",South Carolina,2021-06-28,2021-07-07
787,Lead and Healthy Homes Professional; City of Waterbury Health Department,Connecticut,2021-06-28,2021-07-26
788,Water Tank Inspections,Connecticut,2021-06-28,2021-07-21
789,Xylophones,Connecticut,2021-06-28,2021-07-06
790,RLDatix System,Mississippi,2021-06-28,2021-07-06
791,Sole Source Notification - Public Health approach reducing youth violence,Washington,2021-06-28,2021-07-05
792,Tennis Court Recoating Project at Harlem High School,Illinois,2021-06-28,2021-07-06
793,Notice to Residential HVAC/Mechanical Contractors,Maryland,2021-06-28,2021-07-02
794,Design/Build services for Indian Ave. Expansion Project,Illinois,2021-06-28,Not Stated
795,Alpine School District Medium Duty Warehouse Truck Bid,Utah,2021-06-28,2021-07-02
796,Maryland Insurance Administration Fiscal Consultant,Maryland,2021-06-28,2021-07-01
797,Purchase of Enviromental Supplies,Texas,2021-06-28,2021-07-01
798,Purchase of WASTE RECEPTACLES,Texas,2021-06-28,2021-07-01
799,Purchase of Welding Equipment and Supplies,Texas,2021-06-28,2021-07-01
800,Typhoon Trailer Jetter for WCI,Maryland,2021-06-28,2021-06-30
801,FWE MOBILE HEATING CABINETS FOR THE WESTERN CORRECTIONAL INSTITUTION,Maryland,2021-06-28,2021-06-30
802,PATH-Eligible Community Based Services,South Carolina,2021-06-28,2021-07-16
803,WINTHROP UNIVERSITY FENCE REPAIRS - REBID,South Carolina,2021-06-28,2021-07-08
804,ADA Upgrades to Controllers Office,Pennsylvania,2021-06-28,2021-07-15
805,Little Miami State Park O'Bannon Bridge Replacement,Ohio,2021-06-28,2021-07-15
806,Lot 1 Municipal Parking Lot Improvements,Pennsylvania,2021-06-28,2021-07-16
807,"PROFESSIONAL APPRAISAL SERVICESWILD BROOK RANCH, LLC",New York,2021-06-28,2021-07-08
808,Notice to Residential Pest Control / Exterminators,Maryland,2021-06-28,2021-07-02
809,Professional Surveying Services,New Jersey,2021-06-28,2021-07-08
810,JTEC-REP 161 KV New Transmission Line,Missouri,2021-06-28,2021-07-15
811,Fax machines,Pennsylvania,2021-06-28,2021-07-09
812,RE-BID OF PIPE AND WATER DEVICE INSULATION INSTALLATION,Texas,2021-06-28,2021-07-09
813,Used Battery Recycling,Missouri,2021-06-28,2021-07-14
814,Electric Typewriter,Pennsylvania,2021-06-28,2021-07-09
815,Furnish and Install Roadway Sheeting Signs D-2,Kentucky,2021-06-28,2021-07-08
816,"Site Maintenance Work at Coolidge-Kennedy School, Eisenhower School, and Madison School",Illinois,2021-06-28,2021-07-08
817,Chromebook and Laptop,Illinois,2021-06-28,2021-07-08
818,"Roadway Data Collection, Data Mgmt., and Fleet Mgmt. Software & Equipment Device Pkg. - Rebid",Arkansas,2021-06-28,2021-07-06
819,Custom Canopy Tents,Pennsylvania,2021-06-28,2021-07-02
820,THREE SEWAGE EJECTOR PUMPS W/MOUNTING SYSTEM,Massachusetts,2021-06-28,2021-07-02
821,HVAC equipment replacement at Warner Elementary School,Tennessee,2021-06-28,2021-07-13
822,2021 NEAR WEST NEIGHBORHOOD RESURFACING PROJECT - VARIOUS LOCATION (IDOT FT SECTION #21-00000-06-GM),Illinois,2021-06-28,2021-07-14
823,2021 Chip and Seal Project,Ohio,2021-06-28,2021-07-14
824,Glenside Boiler Plant Decentralization - Phase 1 RHA-C104,Pennsylvania,2021-06-28,2021-07-14
825,16 X 8 Airboat,California,2021-06-28,2021-07-12
826,Two 2021 New Holland L334EH Tier 4 Final Skid Steer Loaders,Illinois,2021-06-28,2021-07-12
827,Information Technology Adviser,California,2021-06-28,2021-07-13
828,Backup Weather System for Miami-Opa Locka Airport Tower,Florida,2021-06-28,2021-07-09
829,ARCHITECTURAL SERVICES,Oklahoma,2021-06-28,2021-07-13
830,WWTP 2021 Paving,Pennsylvania,2021-06-28,2021-07-13
831,P-6M citations,Wyoming,2021-06-28,2021-07-09
832,Translation Services,California,2021-06-28,2021-07-12
833,PAPER RECYCLING- NEGOTIATED ACQUISITION,New York,2021-06-28,2021-07-09
834,Discount From List for Wheel Chair Lift Parts and Repair Services for Lift U Model,Texas,2021-06-28,2021-07-09
835,Pest Control Services,California,2021-06-28,2021-07-09
836,Roscommon Elementary School Roof Masonry Repair Project,Michigan,2021-06-28,2021-07-12
837,Schuylkill County Airport Road Improvements,Pennsylvania,2021-06-28,2021-07-12
838,Occupational Therapist for MDH Potomac Center,Maryland,2021-06-28,2021-07-09
839,Double Wall Storage Tanks-ESG SPC 5000,Michigan,2021-06-28,2021-07-09
840,"HMA Pavt Repair M-5, I-94to Scotten, City of Detroit, Wayne County",Michigan,2021-06-28,2021-07-09
841,Engineering Services,Tennessee,2021-06-28,2021-07-08
842,Construction Training,South Carolina,2021-06-28,2021-07-09
843,Election Ballot Printing Services,Pennsylvania,2021-06-28,2021-07-08
844,High School Multipurpose Room Addition,New Jersey,2021-06-28,2021-07-09
845,Elevator Traction Machine Replacement Services,California,2021-06-28,2021-07-16
846,BPO for Dependent Audit Services,Texas,2021-06-28,2021-07-08
847,"Demolition 455 Walnut, Elgin, Illinois",Illinois,2021-06-28,2021-07-06
848,Pressure/Vacuum Controller,Texas,2021-06-28,2021-07-02
849,HARTFORD HS / MS / REDWOOD ELEM KITCHEN EQUIPMENT ADDITIONS,Michigan,2021-06-28,2021-07-08
850,KinkiSharyo Rail Items,Texas,2021-06-28,2021-07-08
851,SOFTWARE - RENEWAL- F5 NETWORKS,California,2021-06-28,2021-07-08
852,ANAHIT GEZALIAN / SNSIRM-20213 - RED HAT RENEWAL,California,2021-06-28,2021-07-08
853,Memorial Park Play Ground Relocation Project,Pennsylvania,2021-06-28,2021-07-09
854,Potable Water Hoses,Minnesota,2021-06-28,2021-07-07
855,Yough School District - WWTP Rehabilitation,Pennsylvania,2021-06-28,2021-07-22
856,4403-2021 Code Enforcement Badges,Ohio,2021-06-28,2021-07-07
857,Five Corners Traffic Study,West Virginia,2021-06-28,2021-07-06
858,Fleet - HD Cooling Systems & Radiator Core Replacement,Ohio,2021-06-28,2021-07-02
859,Construction Training,South Carolina,2021-06-28,2021-07-08
860,Furnish & Install Fencing at Cohen Campbell Fishery Center,South Carolina,2021-06-28,2021-07-07
861,DPUW Customer Service F250,Ohio,2021-06-28,2021-07-02
862,Notice to Residential Landscapers,Maryland,2021-06-28,2021-07-02
863,JPWWTP - UPS,Ohio,2021-06-28,2021-07-02
864,Counter Clockwise and Clockwise Jail Door Motors,Texas,2021-06-28,2021-06-30
865,HVAC cleaning and filters,Texas,2021-06-28,2021-06-30
866,Speed Queen Washers and Dryers,Maryland,2021-06-28,2021-06-30
867,Traulsen Roll-In Heated Cabinet with Full Prison Package for the North Branch Correctional Institution,Maryland,2021-06-28,2021-06-30
868,Vinyl Waterproof Flooring,Maryland,2021-06-28,2021-06-30
869,General Architectural Services,Texas,2021-06-28,2021-08-05
870,CMA Dishmachine - Gillie Community Center,Ohio,2021-06-28,2021-07-01
871,LG 50'' TV's & Kanto TV Cart,Ohio,2021-06-28,2021-07-01
872,Sourcewell Roadway Maintenance Equipment (RFP #080521),South Dakota,2021-06-28,2021-08-05
873,WabTec Group Items,Texas,2021-06-28,2021-07-01
874,Infrastructure Analysis & Inspection Services,Virginia,2021-06-28,2021-08-09
875,Web Evaluation and Monitoring Tool,California,2021-06-28,2021-08-03
876,District Instructional Supplies & Equipment,Texas,2021-06-28,2026-06-30
877,"WEIGHTS - ASTM - 1,000 LB AND 1,500 LB - SPECS - QUICK BID",California,2021-06-28,2021-07-01
878,Online Bill Presentment & Payment (OBPP),New Mexico,2021-06-28,2021-08-03
879,Transfer Station Building Repairs,New Hampshire,2021-06-28,2021-08-27
880,BARNEGAT LANE ROAD IMPROVEMENTS,New Jersey,2021-06-28,2021-08-11
881,SUBSTANCE USE DISORDER PREVENTION SERVICES,California,2021-06-28,2021-08-02
882,Integrated Pipeline Project – Section 19 Long Tunnel Crossings,Texas,2021-06-28,2021-09-16
883,FY2021 NJDOT MUNICIPAL AID IMPROVEMENTS TO CEDAR AVENUE & MONMOUTH AVENUE,New Jersey,2021-06-28,2021-08-04
884,Capital Region and Mid-Hudson Region Commuter Bus Service,New York,2021-06-28,2021-09-15
885,Grease Interceptor Replacement - Gracedale Nursing Home,Pennsylvania,2021-06-28,2021-07-01
886,ELECTRICAL DISTRIBUTION ANALYSIS AND TESTING,New Jersey,2021-06-28,2021-08-25
887,2022/2023 Dump Truck 60K GVWR,Georgia,2021-06-28,2021-08-02
888,"T0741 Foods: Entrees, Frozen, Kosher, Halal, Ovo-Lacto Vegetarian for NJ Department of Corrections",New Jersey,2021-06-28,2021-08-03
889,Election Ballot Printing and Mail Processing Services for Absentee & Mail-In Ballots,Pennsylvania,2021-06-28,2021-08-04
890,Social Program Agreement Management System,California,2021-06-28,2021-07-01
891,IROQUOIS COUNTY COMMUNITY MENTAL HEALTH 708 BOARD,Illinois,2021-06-28,2021-08-01
892,NFWB Primary Treatment Polymer,New York,2021-06-28,2021-09-01
893,"THE LEASE OF 9,170 SQ. FT. OF OFFICE SPACE IN DALLAS, TEXAS FOR THE TEXAS DEPARTMENT OF CRIMINAL JUSTICE (TDCJ)",Texas,2021-06-28,2021-08-03
894,Commodity Processing,Tennessee,2021-06-28,2021-07-28
895,Zona Cultural Streets,Texas,2021-06-28,2021-08-20
896,State Government Relations Consultant,Florida,2021-06-28,2021-08-10
897,Career Pathway Training under Title I of the Workforce Innovation and Opportunity Act (WIOA),Illinois,2021-06-28,2021-08-02
898,Various Rail Items,Texas,2021-06-28,2021-07-01
899,Regional Legal Services Metro South and Northeast Regions,Massachusetts,2021-06-28,2021-08-20
900,Federal Government Relations Consultant,Florida,2021-06-28,2021-08-10
901,Child Care Case Management,Texas,2021-06-28,2021-08-31
902,Johnson County Transit Operations & Management Services,Kansas,2021-06-28,2021-08-06
903,Chemicals,Connecticut,2021-06-28,2021-07-13
904,Power Washing Services,Texas,2021-06-28,2021-07-30
905,"ELECTRICAL/GENERAL CONTRACTING SERVICES FOR THETHE SCHOOL OF THE SCHOOL OF MEDICINE BRESSLER RESEARCH BUILDING SUBSTATIONS 4-7 RENEWAL SYSTEM AT UNIVERSITY OF MARYLAND, BALTIMORE",Maryland,2021-06-28,2021-08-09
906,"Gas Scada System Improvements, Phase 3",Arizona,2021-06-28,2021-08-05
907,16th Street Improvement Project,California,2021-06-28,2021-08-12
908,Environmental Lab Consumables (Lab Supplies),Texas,2021-06-28,2021-07-30
909,BELUGA OPERATIONS BUILDING UPGRADE,Alaska,2021-06-28,2021-07-30
910,2021 Asphalt Rejuvenation,Georgia,2021-06-28,2021-08-02
911,MENTAL HEALTH MOBILE APPLICATION PLATFORM,Texas,2021-06-28,2021-07-30
912,Solicitation for Contractors,Texas,2021-06-28,2021-07-31
913,Delegate Agency provider,Illinois,2021-06-28,2021-07-30
914,Misc Stock,Texas,2021-06-28,2021-06-30
915,Continuation of a Ttransitional Youth Early Intervention Probation Program,Massachusetts,2021-06-28,2021-07-30
916,"Railroad Rail and Tie Removal Project on the Berlin Branch Rail Corridor in Littleton, NH",New Hampshire,2021-06-28,2021-07-30
917,INSTALLATION OF MANHOLE TO MANHOLE 15” SEWER LINE LINER SYSTEM,Florida,2021-06-28,2021-07-30
918,"Fire Repairs of the Damaged Unit located at 1856 Reeves Ave., Lorain, OH 44052",Ohio,2021-06-28,2021-07-30
919,Lead Testing in School and Child Care Program,Texas,2021-06-28,2021-07-29
920,Glycol Management Program – Control Facility – Construction,Tennessee,2021-06-28,2021-07-29
921,Utility Billing System for Lake County Public Works Department,Illinois,2021-06-28,2021-08-20
922,"Fire Repairs of the Damaged Unit located at 2207 W. 24th St., Lorain, OH 44052",Ohio,2021-06-28,2021-07-29
923,Architectural Services,New Jersey,2021-06-28,2021-07-29
924,"Implementation of 3rd Party Energy and Water Efficiency and Electrification Programs for Residential, Low-Income, and Multifamily Customers",California,2021-06-28,2021-07-28
925,Marketing of Recyclable Materials,Texas,2021-06-28,2021-07-29
926,Energy Retrofits for Public Buildings – Solar,Washington,2021-06-28,2021-08-19
927,ON-CALL Contractor Services for Water and Sewer,Alabama,2021-06-28,2021-07-29
928,HR Asset Tracking System,California,2021-06-28,2021-07-01
929,Document Cameras for the 2022 school year,Mississippi,2021-06-28,2021-07-29
930,South Hartford Conveyance and Storage Tunnel: Tunnel Pump Station,Connecticut,2021-06-28,2021-09-02
931,N92 BCEC New Vertical Core,Massachusetts,2021-06-28,2021-08-12
932,Replacement of Campbell Ave Bridge,New York,2021-06-28,2021-08-05
933,MUNICIPAL SEPARATE STORM SEWER SYSTEM (MS4) INSPECTIONS,North Carolina,2021-06-28,2021-07-29
934,"BEST LOCKING SYSTEMS MAINTENANCE, REPAIR AND SUPPLIES",Pennsylvania,2021-06-28,2021-08-04
935,"Snook Haven Addition, Phase II",Florida,2021-06-28,2021-07-28
936,New Water Reclamation Facility (WRF) Project Liquid Train 1 – Liquid Train Package 1,Utah,2021-06-28,2021-07-28
937,ONLINE BILL PRESENTMENT AND PAYMENT (OBPP),New Mexico,2021-06-28,2021-08-03
938,GPU Server 06252021,Indiana,2021-06-28,2021-07-02
939,GRANTS MANAGEMENT CONSULTANT,New Jersey,2021-06-28,2021-07-28
940,COLE RD AND COLE RD WEST SIDEWALK FROM DUVAL RD TO WOODLAND DR -PQ-HORIZONTAL- 81,Florida,2021-06-28,2021-07-28
941,Term Contract for Employee Paid Pet Insurance,Florida,2021-06-28,2021-07-28
942,"Repairs of the Damaged Unit located at 121 S. Pleasant St., Oberlin, OH, LMHA's Oberlin Homes (LIHTC)",Ohio,2021-06-28,2021-07-28
943,"FAP No. STBG-3(640)E;SHA No. BC410030;TR10003, Replacement of Bridge No. BC6507 on Phoenix Road over Gunpowder Falls",Maryland,2021-06-28,2021-08-11
944,Harris Court Tank Rehab,Virginia,2021-06-28,2021-07-28
945,Containment Glove Box,Indiana,2021-06-28,2021-07-06
946,Inventory Reconciliation,Maryland,2021-06-28,2021-07-28
947,MSD Radio Repeaters,Kentucky,2021-06-28,2021-08-05
948,Municipal Roadway Construction - Monroe Street,Pennsylvania,2021-06-28,2021-07-05
949,Payroll and HR Technology and Services,Maryland,2021-06-28,2021-07-28
950,NN ADA Compliance Projects,Arizona,2021-06-28,2021-07-30
951,ORLANDO AVENUE TREE PLANTING,Illinois,2021-06-28,2021-07-28
952,Sourcewell Roadway Paving Equipment,South Dakota,2021-06-28,2021-08-12
953,Orlando Avenue Tree Planting,Illinois,2021-06-28,2021-07-28
954,PAINT SUPPLIES,Illinois,2021-06-28,2021-07-28
955,2021 Shade Tree Maintenance Contract,Pennsylvania,2021-06-28,2021-07-06
956,"Rockleigh Property Demolition Project, County of Bergen",New Jersey,2021-06-28,2021-08-10
957,Cancer Screenings for Fire and Medical,Arizona,2021-06-28,2021-07-27
958,Norton Terminal Development & MTCA 3rd Interim Action,Washington,2021-06-28,2021-07-27
959,Charleston Bike Share Program,South Carolina,2021-06-28,2021-08-17
